timestamp,open,high,low,close,volume,value,trade_cnt,active_buy_volume,active_buy_value
2025-02-25 23:15:00,86792.90,87133.00,86787.20,86982.50,961.697,83683020.49450,17406,555.470,48335409.87430
2025-02-25 23:16:00,86982.50,87153.00,86740.20,86786.20,848.632,73799002.67380,14292,414.329,36043804.25750
2025-02-25 23:17:00,86786.10,86808.70,86531.40,86552.70,975.913,84551524.79930,18030,378.697,32810815.10160
2025-02-25 23:18:00,86552.70,86748.20,86345.20,86711.40,2128.890,184167880.15940,27928,850.368,73602208.81210
2025-02-25 23:19:00,86713.90,86818.90,86566.00,86580.00,999.334,86633162.28250,16389,583.666,50599764.96320
2025-02-25 23:20:00,86579.90,86689.80,86274.10,86386.00,1059.718,91588800.18340,17641,401.808,34737543.97880
2025-02-25 23:21:00,86385.90,86621.80,86200.00,86409.90,1562.022,134981238.86020,23519,722.274,62439898.51920
2025-02-25 23:22:00,86410.00,86631.00,86306.60,86575.40,1137.165,98306363.89310,19847,667.600,57716941.82070
2025-02-25 23:23:00,86575.10,86907.30,86575.00,86861.50,1224.995,106308007.40460,20408,674.179,58504197.45120
2025-02-25 23:24:00,86861.50,86892.50,86653.90,86705.70,509.556,44215890.07110,12490,270.222,23447519.92970
2025-02-25 23:25:00,86705.60,86796.30,86476.70,86724.80,711.411,61635647.48250,15490,337.105,29211644.77470
2025-02-25 23:26:00,86724.80,87100.00,86721.70,86841.50,1066.448,92730347.07490,18839,614.811,53454686.03190
2025-02-25 23:27:00,86841.50,87007.70,86800.00,86801.90,633.346,55046900.69700,12885,325.664,28305661.79060
2025-02-25 23:28:00,86801.90,86862.30,86632.30,86661.10,624.464,54178381.73950,13050,295.982,25680409.13600
2025-02-25 23:29:00,86661.20,86735.90,86555.00,86580.30,451.556,39119991.96460,10987,240.435,20829941.99750
2025-02-25 23:30:00,86580.30,86755.60,86383.80,86415.60,893.806,77372136.01890,16155,444.887,38511006.68530
2025-02-25 23:31:00,86413.20,86423.00,86225.80,86235.40,1092.219,94274961.46530,16550,475.604,41051522.26310
2025-02-25 23:32:00,86235.30,86490.70,86090.00,86381.70,1574.183,135804479.24770,22585,710.843,61353988.15900
2025-02-25 23:33:00,86381.60,86392.60,86151.50,86319.00,581.976,50203553.25010,13208,277.265,23918300.77340
2025-02-25 23:34:00,86318.90,86384.00,86189.80,86237.90,749.067,64640131.83650,14109,415.071,35815371.82780
